Country,GoldMedals,Silver,Bronze,TotalMedals,BordaPoints,Income,PopnSize,GDP,Income SQ,PopnSQ,IncomeCubed,PopnCubed,GDPSQ,GDPCubed,Ln(Income),Ln(PopnSize),Ln(GDP),Key to Variables
United States,46,29,29,104,225,4.8386,0.314030289,1.519466955,23.41204996,0.098615022,113.2815449,0.030968104,2.308779827,12.30686842,1.576625423,-1.158265837,0.418359586,"X1= income per capita (in $10,000) "
China,38,27,23,88,191,0.5413,1.340086499,0.725388822,0.29300569,1.795831824,0.15860398,2.406569981,0.526188943,0.14568846,-0.613781625,0.292734163,-0.321047462,"X2= population size (in 1,000,000,000) "
Russia,24,26,32,82,156,1.2993,0.143092238,0.185919745,1.68818049,0.020475389,2.193452911,0.002929869,0.034566151,4.13E-05,0.261825658,-1.944265837,-1.682440179,X3= GDP (X1*X2)
Great Britain,29,17,19,65,140,3.8891,0.062270602,0.2421766,15.12509881,0.003877628,58.82302178,0.000241462,0.058649505,0.00020174,1.358177768,-2.776265837,-1.418088069,X4= Income Squared=X1*X1
Germany,11,19,14,44,85,4.3741,0.08181736,0.357877313,19.13275081,0.00669408,83.68856532,0.000547692,0.128076171,0.002100898,1.475700784,-2.503265837,-1.027565053,X5= Population Squared=X2*X2
Japan,7,14,17,38,66,4.592,0.127802927,0.586871039,21.086464,0.016333588,96.82904269,0.00208748,0.344417617,0.040856021,1.524315659,-2.057265837,-0.532950178,X6= Incmome Cubed=X1*X1*X1
Australia,7,16,12,35,65,6.5477,0.022702827,0.148651299,42.87237529,0.000515418,280.7154517,1.17E-05,0.022097209,1.08E-05,1.879113843,-3.785265837,-1.906151994,X7= Population Cubed=X2*X2*X2
France,11,11,12,34,67,4.2793,0.065332489,0.279577319,18.31240849,0.004268334,78.36428965,0.000278861,0.078163477,0.000477542,1.453789445,-2.728265837,-1.274476392,X8=GDP Squared=X3*X3
South Korea,13,8,7,28,62,2.3749,0.050023327,0.1188004,5.64015001,0.002502333,13.39479226,0.000125175,0.014113535,2.81E-06,0.864955331,-2.995265837,-2.130310506,X9=GDP Cubed=X3*X3*X3
Italy,8,9,11,28,53,3.6267,0.060793899,0.220481234,13.15295289,0.003695898,47.70181425,0.000224688,0.048611975,0.000114876,1.288323144,-2.800265837,-1.511942693,X10=natural log of income=ln(X1)
